_dataobs_,date,price_range,Camera_pc,Camera_fc,Screen_sc_h,Screen_sc_w,Screen_px_width,Screen_px_height,Memory_ram,Memory_int_memory,TechSpec_mobile_wt,TechSpec_m_dep,TechSpec_battery_power,TechSpec_touch_screen,TechSpec_clock_speed,TechSpec_n_cores,TechSpec_wifi,TechSpec_blue,TechSpec_dual_sim,TechSpec_four_g,TechSpec_three_g,TechSpec_talk_time,Camera_COUNT_Sales_,Camera_MAX_Sales_price_range_,Camera_MEAN_Sales_price_range_,Camera_MIN_Sales_price_range_,Camera_MODE_Sales_date_,Camera_NUM_UNIQUE_Sales_date_,Camera_SUM_Sales_price_range_,Screen_COUNT_Sales_,Screen_MAX_Sales_price_range_,Screen_MEAN_Sales_price_range_,Screen_MIN_Sales_price_range_,Screen_MODE_Sales_date_,Screen_NUM_UNIQUE_Sales_date_,Screen_SUM_Sales_price_range_,Memory_COUNT_Sales_,Memory_MAX_Sales_price_range_,Memory_MEAN_Sales_price_range_,Memory_MIN_Sales_price_range_,Memory_MODE_Sales_date_,Memory_NUM_UNIQUE_Sales_date_,Memory_SUM_Sales_price_range_,TechSpec_COUNT_Sales_,TechSpec_MAX_Sales_price_range_,TechSpec_MEAN_Sales_price_range_,TechSpec_MIN_Sales_price_range_,TechSpec_MODE_Sales_date_,TechSpec_NUM_UNIQUE_Sales_date_,TechSpec_SUM_Sales_price_range_
18,11/02/2022,2,15,5,9,2,532,335,2187,48,186,0.2,1042,FALSE,2.9,4,FALSE,FALSE,FALSE,TRUE,TRUE,5,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
19,11/02/2022,2,3,2,19,12,1771,82,3902,37,194,0.2,1231,FALSE,1.7,2,TRUE,TRUE,TRUE,TRUE,TRUE,15,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
20,11/02/2022,2,20,9,5,0,559,47,2524,37,189,0.7,1488,FALSE,2.6,4,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
21,11/02/2022,2,17,8,15,1,1930,504,1357,7,151,0.7,968,TRUE,0.6,1,FALSE,FALSE,FALSE,TRUE,TRUE,16,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
22,11/02/2022,2,5,1,13,11,1591,521,3456,60,101,0.5,529,TRUE,2.6,5,FALSE,FALSE,TRUE,FALSE,FALSE,9,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
23,11/02/2022,2,10,7,17,0,1587,777,1641,50,115,0.1,1558,TRUE,1.7,2,TRUE,FALSE,TRUE,FALSE,TRUE,9,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
25,11/02/2022,2,6,1,17,4,1321,1194,3862,5,125,0.7,1037,TRUE,1.7,3,FALSE,FALSE,TRUE,FALSE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
26,11/02/2022,2,16,6,15,10,1306,1003,557,43,122,0.7,1025,TRUE,1.6,3,TRUE,FALSE,TRUE,TRUE,TRUE,14,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
27,11/02/2022,2,1,0,16,11,1200,575,2427,17,124,0.6,1858,TRUE,3,4,FALSE,FALSE,TRUE,FALSE,TRUE,13,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
28,11/02/2022,2,5,1,17,3,658,54,625,8,91,0.1,980,TRUE,0.5,5,TRUE,FALSE,FALSE,FALSE,FALSE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
30,11/02/2022,2,0,0,11,3,1048,129,854,38,81,0.8,1024,FALSE,1.6,2,FALSE,TRUE,TRUE,TRUE,TRUE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
31,11/02/2022,2,13,2,11,2,1408,876,2383,11,184,0.3,1981,FALSE,2.9,8,FALSE,FALSE,TRUE,TRUE,TRUE,18,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
32,11/02/2022,2,16,15,9,5,643,501,926,56,187,0.5,1380,FALSE,2.6,8,FALSE,FALSE,TRUE,TRUE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
35,11/02/2022,2,6,0,11,7,1904,1219,874,45,193,0.8,1074,FALSE,1.2,3,FALSE,TRUE,FALSE,FALSE,TRUE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
36,11/02/2022,2,8,3,5,3,1777,119,1617,32.587963,124,0.9,1175,FALSE,2.1,6,TRUE,TRUE,FALSE,FALSE,FALSE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
37,11/02/2022,2,5,4,17,16,1557,753,3309,8,96,0.6,1280,FALSE,0.9,6,TRUE,FALSE,TRUE,TRUE,TRUE,8,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
38,11/02/2022,2,16,1,19,2,847,162,1786,28,112,0.4,1715,FALSE,0.6,6,TRUE,FALSE,TRUE,TRUE,TRUE,12,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
40,11/02/2022,2,1,0,16,6,566,181,2243,2,87,0.2,567,TRUE,2.6,4,TRUE,FALSE,FALSE,FALSE,FALSE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
43,11/02/2022,2,15,0,5,4,633,79,793,12,121,0.5,685,FALSE,0.5,6,TRUE,TRUE,TRUE,FALSE,FALSE,11,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
44,11/02/2022,2,19,12,14,0,972,153,324,17,174,0.6,1388,FALSE,0.6,5,FALSE,TRUE,TRUE,TRUE,TRUE,3,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
45,11/02/2022,2,14,2,5,3,748,480,366,48,188,0.6,1972,TRUE,2.1,3,FALSE,FALSE,FALSE,FALSE,TRUE,17,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
46,11/02/2022,2,17,9,17,3,1234,700,1228,57,80,0.5,1411,TRUE,1.7,7,FALSE,TRUE,FALSE,TRUE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
47,11/02/2022,2,5,2,7,0,610,221,1413,20,135,0.9,1094,TRUE,2.3,1,TRUE,FALSE,TRUE,FALSE,FALSE,16,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
49,11/02/2022,2,20,9,11,5,1867,65,1798,33,142,0.7,916,TRUE,2,7,FALSE,FALSE,TRUE,FALSE,TRUE,5,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
51,11/02/2022,2,14,13,17,14,764,224,2437,32,103,0.8,882,TRUE,0.9,8,TRUE,TRUE,TRUE,FALSE,FALSE,15,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
53,11/02/2022,2,3,0,6,0,1695,709,2815,56,165,0.4,1442,TRUE,0.5,3,TRUE,TRUE,TRUE,FALSE,FALSE,8,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
54,11/02/2022,2,14,11,14,2,663,97,1440,47,150,0.2,900,TRUE,1.9,8,TRUE,FALSE,FALSE,FALSE,TRUE,4,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
55,11/02/2022,2,10,4,17,6,1360,1131,3470,20,153,0.9,1630,TRUE,0.6,7,FALSE,TRUE,TRUE,FALSE,TRUE,4,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
56,11/02/2022,2,15,6,18,15,1022,359,1251,24,174,0.3,1596,TRUE,1.4,5,TRUE,TRUE,TRUE,FALSE,TRUE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
57,11/02/2022,2,11,9,10,6,1871,1813,3181,54,133,0.6,1272,FALSE,0.5,8,TRUE,TRUE,FALSE,TRUE,TRUE,14,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
58,11/02/2022,2,2,1,9,1,1788,839,1361,7,135,0.2,1640,TRUE,2.5,4,TRUE,FALSE,TRUE,FALSE,FALSE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
59,11/02/2022,2,14,10,13,5,666,550,1630,15,198,0.5,1111,FALSE,1.4,7,TRUE,FALSE,TRUE,FALSE,TRUE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
60,11/02/2022,2,17,15,9,6,755,443,3689,25,90,0.3,1889,FALSE,2.9,2,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
63,11/02/2022,2,5,3,5,0,667,19,1431,38,121,0.7,578,FALSE,0.5,6,FALSE,FALSE,FALSE,TRUE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
64,11/02/2022,2,7,2,12,0,636,386,2167,39,164,0.4,1634,TRUE,2.3,1,TRUE,TRUE,TRUE,TRUE,TRUE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
65,11/02/2022,2,15,1,9,2,1345,22,1248,22,172,0.6,1533,FALSE,1.2,3,FALSE,TRUE,TRUE,TRUE,TRUE,9,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
70,11/02/2022,2,20,2,8,6,1808,1560,1676,23,122,1,1705,TRUE,2.8,3,TRUE,TRUE,FALSE,TRUE,TRUE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
71,11/02/2022,2,16,4,17,13,702,346,1912,36,185,0.1,1366,FALSE,0.5,1,TRUE,FALSE,TRUE,FALSE,FALSE,19,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
72,11/02/2022,2,6,5,10,5,1660,912,1947,58,109,0.6,1991,FALSE,0.5,5,TRUE,FALSE,FALSE,FALSE,TRUE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
73,11/02/2022,2,14,5,15,12,882,756,2734,40,175,1,1102,TRUE,1.2,3,FALSE,TRUE,FALSE,TRUE,TRUE,4,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
74,11/02/2022,2,5,3,16,1,1704,699,3617,32,175,0.5,1452,TRUE,1.1,3,FALSE,FALSE,FALSE,TRUE,TRUE,12,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
75,11/02/2022,2,19,6,18,10,1752,582,3414,63,151,0.9,1810,FALSE,1.1,1,FALSE,TRUE,TRUE,FALSE,TRUE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
76,11/02/2022,2,4,2,19,11,1078,680,482,41,165,1,1166,TRUE,2.2,7,TRUE,TRUE,TRUE,TRUE,TRUE,11,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
77,11/02/2022,2,12,5,18,1,1015,814,2813,6,117,0.4,881,FALSE,0.8,6,TRUE,TRUE,TRUE,FALSE,TRUE,17,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
78,11/02/2022,2,0,0,13,7,1597,672,661,64,166,0.5,1134,FALSE,0.5,5,FALSE,TRUE,TRUE,TRUE,TRUE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
80,11/02/2022,2,1,0,5,0,1371,757,3922,34,167,0.4,1376,FALSE,2.4,6,FALSE,TRUE,TRUE,TRUE,TRUE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
81,11/02/2022,2,8,2,15,8,900,208,1199,56,137,0.1,1391,TRUE,1.4,5,TRUE,FALSE,TRUE,TRUE,TRUE,10,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
82,11/02/2022,2,16,6,7,2,1256,1194,3779,24,124,0.6,979,TRUE,2.1,5,FALSE,FALSE,FALSE,FALSE,FALSE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
84,11/02/2022,2,16,13,8,7,1585,91,858,61,168,0.1,968,TRUE,0.5,8,FALSE,FALSE,TRUE,TRUE,TRUE,11,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
86,11/02/2022,2,17,3,8,4,1499,1095,454,20,164,0.1,1626,TRUE,2.7,2,FALSE,FALSE,FALSE,FALSE,TRUE,6,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
87,11/02/2022,2,20,14,13,11,797,336,3953,28,153,0.8,942,FALSE,1.7,8,TRUE,FALSE,TRUE,FALSE,FALSE,7,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
90,11/02/2022,2,6,3,14,0,1100,652,966,27,80,0.6,1373,FALSE,1.4,8,TRUE,FALSE,TRUE,FALSE,FALSE,9,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
91,11/02/2022,2,15,6,14,0,1416,440,1938,51,99,0.9,1650,TRUE,2.1,5,TRUE,TRUE,TRUE,FALSE,FALSE,3,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
92,11/02/2022,2,2,0,14,1,886,532,2820,17,152,0.7,1663,TRUE,0.6,4,TRUE,TRUE,TRUE,FALSE,TRUE,5,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
93,11/02/2022,2,17,0,6,0,1949,1373,305,3,168,0.9,1965,FALSE,0.5,7,FALSE,TRUE,FALSE,TRUE,TRUE,20,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
94,11/02/2022,2,1,0,19,7,920,773,2838,41,154,0.3,679,FALSE,0.9,4,TRUE,FALSE,TRUE,FALSE,FALSE,6,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
95,11/02/2022,2,8,2,8,2,974,965,2042,3,90,1,1465,TRUE,2.5,5,TRUE,FALSE,FALSE,FALSE,FALSE,12,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
99,11/02/2022,2,19,9,15,4,1003,423,3121,23,81,0.8,1119,TRUE,2.5,4,FALSE,TRUE,FALSE,FALSE,FALSE,5,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
100,11/02/2022,2,5,0,14,1,627,537,2023,24,103,0.8,559,FALSE,0.5,4,FALSE,TRUE,TRUE,TRUE,TRUE,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2,1,2,2,2,22687,1,2
101,11/02/2022,1,15,9,10,5,1872,667,737,19,113,0.8,1204,FALSE,1.8,8,FALSE,TRUE,FALSE,FALSE,FALSE,18,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
102,11/02/2022,1,19,4,11,7,692,491,450,15,89,0.4,1008,FALSE,2.3,8,FALSE,FALSE,TRUE,TRUE,TRUE,18,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
103,11/02/2022,1,13,4,12,2,1829,1037,2928,19,146,0.5,1397,FALSE,2.7,7,FALSE,TRUE,TRUE,FALSE,FALSE,4,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
106,11/02/2022,1,5,2,9,2,1945,1324,745,15,113,0.7,1039,FALSE,1.9,1,FALSE,FALSE,TRUE,FALSE,FALSE,10,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
107,11/02/2022,1,20,1,11,9,921,597,1310,51,83,0.8,1605,TRUE,1.3,4,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
108,11/02/2022,1,4,2,9,3,836,765,2743,34,128,0.6,1094,FALSE,1.6,8,TRUE,FALSE,TRUE,FALSE,FALSE,20,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
109,11/02/2022,1,9,1,12,10,1115,470,3976,30,190,0.8,769,FALSE,0.5,3,TRUE,TRUE,TRUE,TRUE,TRUE,11,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
110,11/02/2022,1,13,0,18,14,1062,653,3931,40,132,0.1,861,FALSE,0.6,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
113,11/02/2022,1,16,10,18,17,910,855,3876,52,140,0.3,1795,FALSE,0.6,2,FALSE,TRUE,TRUE,FALSE,TRUE,2,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
114,11/02/2022,1,6,3,11,5,1684,912,3239,2,159,0.9,1363,FALSE,1.6,7,FALSE,FALSE,TRUE,TRUE,TRUE,11,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
115,11/02/2022,1,4,3,13,2,1110,492,3628,38,195,0.1,1376,FALSE,2.8,2,FALSE,TRUE,FALSE,TRUE,TRUE,13,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
116,11/02/2022,1,3,2,15,0,769,605,3663,19,123,0.4,1981,FALSE,0.5,7,FALSE,TRUE,FALSE,FALSE,TRUE,2,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1,1,1,1,1,22687,1,1
118,12/02/2022,1,17,10,14,6,1821,366,3502,5,140,0.1,1319,FALSE,1.3,8,FALSE,FALSE,TRUE,FALSE,TRUE,3,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
119,12/02/2022,1,16,5,10,4,1358,1225,815,58,178,0.4,859,FALSE,2.7,1,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
120,12/02/2022,1,11,10,9,3,856,573,275,25,147,0.1,1664,TRUE,2.1,3,TRUE,TRUE,FALSE,FALSE,TRUE,11,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
121,12/02/2022,1,1,0,15,3,538,261,3758,62,151,0.4,955,TRUE,0.5,1,TRUE,FALSE,TRUE,FALSE,TRUE,18,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
124,12/02/2022,1,11,6,12,8,1443,565,2086,50,123,0.1,1348,FALSE,0.8,4,FALSE,FALSE,FALSE,TRUE,TRUE,20,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
125,12/02/2022,1,1,0,14,2,1673,1379,444,16,164,0.4,1455,TRUE,1.4,1,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
127,12/02/2022,1,5,3,5,3,911,703,2776,24,125,1,1573,TRUE,3,8,TRUE,TRUE,TRUE,TRUE,TRUE,17,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
129,12/02/2022,1,5,4,11,10,1917,1816,1234,31,130,0.1,1599,TRUE,0.5,2,FALSE,TRUE,FALSE,FALSE,FALSE,9,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
130,12/02/2022,1,9,0,12,0,894,108,305,16,100,0.1,1051,TRUE,0.9,7,TRUE,TRUE,TRUE,FALSE,TRUE,3,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
131,12/02/2022,1,0,0,15,10,1743,1328,1745,14,102,0.9,1857,FALSE,1.4,2,FALSE,TRUE,TRUE,FALSE,FALSE,20,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
133,12/02/2022,1,7,1,11,10,555,361,2220,21,185,0.1,591,TRUE,0.7,6,FALSE,TRUE,FALSE,FALSE,TRUE,13,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
135,12/02/2022,1,3,0,18,9,1718,357,1500,10,80,0.8,923,TRUE,0.6,2,FALSE,TRUE,FALSE,TRUE,TRUE,9,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1,1,1,1,1,22688,1,1
