date,battery_power,blue,n_cores,pc,talk_time,touch_screen,wifi,dual_sim,four_g,three_g,clock_speed,fc,int_memory,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,price_range
11/2/2022,882,Yes,8,14,15,Yes,Yes,Yes,No,No,0.9,13,32,0.8,103,224,764,2437,17,14,high cost
11/2/2022,632,No,2,10,3,No,No,No,Yes,Yes,1.2,6,33,0.5,101,705,992,837,16,4,high cost
11/2/2022,1442,Yes,3,3,8,Yes,Yes,Yes,No,No,0.5,0,56,0.4,165,709,1695,2815,6,0,high cost
11/2/2022,900,No,8,14,4,Yes,Yes,No,No,Yes,1.9,11,47,0.2,150,97,663,1440,14,2,high cost
11/2/2022,1630,Yes,7,10,4,Yes,No,Yes,No,Yes,0.6,4,20,0.9,153,1131,1360,3470,17,6,high cost
11/2/2022,1596,Yes,5,15,2,Yes,Yes,Yes,No,Yes,1.4,6,24,0.3,174,359,1022,1251,18,15,high cost
11/2/2022,1272,Yes,8,11,14,No,Yes,No,Yes,Yes,0.5,9,54,0.6,133,1813,1871,3181,10,6,high cost
11/2/2022,1640,No,4,2,7,Yes,Yes,Yes,No,No,2.5,1,7,0.2,135,839,1788,1361,9,1,high cost
11/2/2022,1111,No,7,14,2,No,Yes,Yes,No,Yes,1.4,10,15,0.5,198,550,666,1630,13,5,high cost
11/2/2022,1889,Yes,2,17,2,No,Yes,No,No,Yes,2.9,15,25,0.3,90,443,755,3689,9,6,high cost
11/2/2022,1907,Yes,8,4,6,No,Yes,Yes,No,Yes,1.1,1,22,0.1,80,502,1113,3586,11,2,high cost
11/2/2022,529,No,4,6,7,No,Yes,Yes,No,No,2.5,5,56,0.3,139,130,647,3942,10,0,high cost
11/2/2022,578,No,6,5,7,No,No,No,Yes,Yes,0.5,3,38,0.7,121,19,667,1431,5,0,high cost
11/2/2022,1634,Yes,1,7,20,Yes,Yes,Yes,Yes,Yes,2.3,2,39,0.4,164,386,636,2167,12,0,high cost
11/2/2022,1533,Yes,3,15,9,No,No,Yes,Yes,Yes,1.2,1,22,0.6,172,22,1345,1248,9,2,high cost
11/2/2022,660,No,3,6,15,Yes,No,No,Yes,Yes,0.6,5,47,0.1,83,49,1552,1986,8,0,high cost
11/2/2022,1847,Yes,4,14,18,No,Yes,No,Yes,Yes,1.6,10,28,0.2,111,1497,1508,1378,5,2,high cost
11/2/2022,1206,Yes,8,20,20,No,Yes,Yes,No,No,0.5,6,10,0.8,134,1327,1361,2959,5,1,high cost
11/2/2022,549,Yes,5,5,19,Yes,Yes,No,Yes,Yes,0.5,3,53,0.8,173,555,1386,1893,5,2,high cost
11/2/2022,1705,Yes,3,20,20,Yes,Yes,No,Yes,Yes,2.8,2,23,1,122,1560,1808,1676,8,6,high cost
11/2/2022,1366,No,1,16,19,No,Yes,Yes,No,No,0.5,4,36,0.1,185,346,702,1912,17,13,high cost
11/2/2022,1991,No,5,6,7,No,Yes,No,No,Yes,0.5,5,58,0.6,109,912,1660,1947,10,5,high cost
11/2/2022,1102,Yes,3,14,4,Yes,No,No,Yes,Yes,1.2,5,40,1,175,756,882,2734,15,12,high cost
11/2/2022,1452,No,3,5,12,Yes,No,No,Yes,Yes,1.1,3,32,0.5,175,699,1704,3617,16,1,high cost
11/2/2022,1810,Yes,1,19,10,No,No,Yes,No,Yes,1.1,6,63,0.9,151,582,1752,3414,18,10,high cost
11/2/2022,1166,Yes,7,4,11,Yes,Yes,Yes,Yes,Yes,2.2,2,41,1,165,680,1078,482,19,11,high cost
11/2/2022,881,Yes,6,12,17,No,Yes,Yes,No,Yes,0.8,5,6,0.4,117,814,1015,2813,18,1,high cost
11/2/2022,1134,Yes,5,0,20,No,No,Yes,Yes,Yes,0.5,0,64,0.5,166,672,1597,661,13,7,high cost
11/2/2022,1031,Yes,1,4,12,No,Yes,Yes,Yes,Yes,2,1,20,0.7,177,450,911,2546,9,6,high cost
11/2/2022,1376,Yes,6,1,2,No,No,Yes,Yes,Yes,2.4,0,34,0.4,167,757,1371,3922,5,0,high cost
11/2/2022,1391,No,5,8,10,Yes,Yes,Yes,Yes,Yes,1.4,2,56,0.1,137,208,900,1199,15,8,high cost
11/2/2022,979,No,5,16,20,Yes,No,No,No,No,2.1,6,24,0.6,124,1194,1256,3779,7,2,high cost
11/2/2022,1075,Yes,4,3,20,Yes,No,No,No,Yes,1.9,0,36,0.6,127,1335,1427,3870,8,3,high cost
11/2/2022,968,No,8,16,11,Yes,No,Yes,Yes,Yes,0.5,13,61,0.1,168,91,1585,858,8,7,high cost
11/2/2022,1999,No,8,11,12,No,Yes,Yes,Yes,Yes,0.5,1,15,0.7,183,33,653,3840,19,17,high cost
11/2/2022,1626,No,2,17,6,Yes,No,No,No,Yes,2.7,3,20,0.1,164,1095,1499,454,8,4,high cost
11/2/2022,942,No,8,20,7,No,Yes,Yes,No,No,1.7,14,28,0.8,153,336,797,3953,13,11,high cost
11/2/2022,1182,No,3,20,6,No,Yes,No,Yes,Yes,1.7,4,42,0.9,189,659,661,1633,14,3,high cost
11/2/2022,1982,Yes,6,16,9,No,Yes,Yes,No,Yes,0.8,9,48,0.4,98,183,709,3035,10,4,high cost
11/2/2022,1373,No,8,6,9,No,Yes,Yes,No,No,1.4,3,27,0.6,80,652,1100,966,14,0,high cost
11/2/2022,1151,No,8,17,10,No,No,Yes,No,Yes,1.7,8,44,0.5,107,410,1246.971733,1761,7,4,high cost
11/2/2022,1650,Yes,5,15,3,Yes,Yes,Yes,No,No,2.1,6,51,0.9,99,440,1416,1938,14,0,high cost
11/2/2022,1663,Yes,4,2,5,Yes,Yes,Yes,No,Yes,0.6,0,17,0.7,152,532,886,2820,14,1,high cost
11/2/2022,1965,Yes,7,17,20,No,No,No,Yes,Yes,0.5,0,3,0.9,168,1373,1949,305,6,0,high cost
11/2/2022,679,No,4,1,6,No,Yes,Yes,No,No,0.9,0,41,0.3,154,773,920,2838,19,7,high cost
11/2/2022,1465,No,5,8,12,Yes,Yes,No,No,No,2.5,2,3,1,90,965,974,2042,8,2,high cost
11/2/2022,1809,Yes,5,19,12,No,No,Yes,No,Yes,2.2,3,27,0.3,137,568,1864,700,11,10,high cost
11/2/2022,757,Yes,8,17,15,No,Yes,Yes,Yes,Yes,2.4,8,26,0.2,164,652,1157,2593,19,3,high cost
11/2/2022,1034,Yes,6,15,9,No,No,No,Yes,Yes,0.7,7,47,0.2,105,214,1463,1835,8,1,high cost
11/2/2022,1119,Yes,4,19,5,Yes,No,No,No,No,2.5,9,23,0.8,81,423,1003,3121,15,4,high cost
11/2/2022,559,Yes,4,5,2,No,No,Yes,Yes,Yes,0.5,0,24,0.8,103,537,627,2023,14,1,high cost
11/2/2022,1204,Yes,8,15,18,No,No,No,No,No,1.8,9,19,0.8,113,667,1872,737,10,5,medium cost
11/2/2022,1008,No,8,19,18,No,No,Yes,Yes,Yes,2.3,4,15,0.4,89,491,692,450,11,7,medium cost
11/2/2022,1397,Yes,7,13,4,No,No,Yes,No,No,2.7,4,19,0.5,146,1037,1829,2928,12,2,medium cost
11/2/2022,697,No,4,6,8,No,Yes,Yes,Yes,Yes,0.6,0,34,0.1,114,325,610,1694,14,8,medium cost
11/2/2022,1939,Yes,2,17,6,No,Yes,No,No,No,1.3,5,58,0.3,174,49,974,2593,11,6,medium cost
11/2/2022,1039,No,1,5,10,No,No,Yes,No,No,1.9,2,15,0.7,113,1324,1945,745,9,2,medium cost
11/2/2022,1605,Yes,4,20,10,Yes,Yes,No,Yes,Yes,1.3,1,51,0.8,83,597,921,1310,11,9,medium cost
11/2/2022,1094,No,8,4,20,No,Yes,Yes,No,No,1.6,2,34,0.6,128,765,836,2743,9,3,medium cost
11/2/2022,769,Yes,3,9,11,No,Yes,Yes,Yes,Yes,0.5,1,30,0.8,190,470,1115,3976,12,10,medium cost
11/2/2022,861,Yes,2,13,2,No,No,Yes,No,No,0.6,0,40,0.1,132,653,1062,3931,18,14,medium cost
11/2/2022,504,No,2,16,15,No,Yes,Yes,No,No,0.9,4,63,1,169,463,1609,3455,17,15,medium cost
11/2/2022,1930,Yes,4,17,6,No,Yes,Yes,Yes,Yes,1.6,5,64,0.3,119,325,1205,1533,5,1,medium cost
11/2/2022,1795,Yes,2,16,2,No,No,Yes,No,Yes,0.6,10,52,0.3,140,855,910,3876,18,17,medium cost
11/2/2022,1363,No,7,6,11,No,No,Yes,Yes,Yes,1.6,3,2,0.9,159,912,1684,3239,11,5,medium cost
11/2/2022,1376,Yes,2,4,13,No,No,No,Yes,Yes,2.8,3,38,0.1,195,492,1110,3628,13,2,medium cost
11/2/2022,1981,Yes,7,3,2,No,No,No,No,Yes,0.5,2,19,0.4,123,605,769,3663,15,0,medium cost
11/2/2022,1901,No,3,17,5,Yes,Yes,No,No,No,2.7,4,62,0.7,133,401,1989,1786,16,10,medium cost
12/2/2022,1319,No,8,17,3,No,No,Yes,No,Yes,1.3,10,5,0.1,140,366,1821,3502,14,6,medium cost
12/2/2022,859,Yes,1,16,2,No,Yes,No,No,Yes,2.7,5,58,0.4,178,1225,1358,815,10,4,medium cost
12/2/2022,1664,Yes,3,11,11,Yes,Yes,No,No,Yes,2.1,10,25,0.1,147,573,856,275,9,3,medium cost
12/2/2022,955,No,1,1,18,Yes,Yes,Yes,No,Yes,0.5,0,62,0.4,151,261,538,3758,15,3,medium cost
12/2/2022,517,No,7,4,2,Yes,Yes,Yes,No,No,1.5,3,38,0.1,97,680,1138,2747,11,5,medium cost
12/2/2022,1806,No,5,7,6,Yes,Yes,No,Yes,Yes,1.1,2,64,0.3,133,280,683,1809,7,6,medium cost
12/2/2022,1348,No,4,11,20,No,No,No,Yes,Yes,0.8,6,50,0.1,123,565,1443,2086,12,8,medium cost
12/2/2022,1455,No,1,1,7,Yes,No,No,No,No,1.4,0,16,0.4,164,1379,1673,444,14,2,medium cost
12/2/2022,1611,No,5,18,8,Yes,Yes,Yes,No,Yes,1.7,5,25,0.6,92,949,1297,3467,9,1,medium cost
12/2/2022,1573,Yes,8,5,17,Yes,Yes,Yes,Yes,Yes,3,3,24,1,125,703,911,2776,5,3,medium cost
12/2/2022,557,No,5,1,7,Yes,No,No,Yes,Yes,0.5,0,23,0.5,197,1264,1682,3170,12,2,medium cost
12/2/2022,1599,Yes,2,5,9,Yes,No,No,No,No,0.5,4,31,0.1,130,1816,1917,1234,11,10,medium cost
12/2/2022,1051,Yes,7,9,3,Yes,Yes,Yes,No,Yes,0.9,0,16,0.1,100,108,894,305,12,0,medium cost
12/2/2022,1857,Yes,2,0,20,No,No,Yes,No,No,1.4,0,14,0.9,102,1328,1743,1745,15,10,medium cost
12/2/2022,1986,No,6,9,12,No,Yes,No,No,Yes,0.5,6,24,0.9,174,797,1061,1707,5,3,medium cost
12/2/2022,591,Yes,6,7,13,Yes,No,No,No,Yes,0.7,1,21,0.1,185,361,555,2220,11,10,medium cost
12/2/2022,1140,No,7,4,9,No,Yes,Yes,Yes,Yes,1.6,0,56,0.3,131,1049,1715,3130,6,5,medium cost
12/2/2022,923,Yes,2,3,9,Yes,No,No,Yes,Yes,0.6,0,10,0.8,80,357,1718,1500,18,9,medium cost
12/2/2022,1582,No,1,9,18,Yes,Yes,No,No,Yes,0.5,0,33,0.4,200,197,764,2145,9,7,medium cost
12/2/2022,723,No,8,14,8,No,Yes,No,No,Yes,0.5,5,63,0.5,172,906,1801,488,5,0,medium cost
12/2/2022,1251,Yes,5,4,14,Yes,No,Yes,Yes,Yes,3,3,54,0.8,83,806,1405,3863,6,1,medium cost
12/2/2022,574,Yes,2,7,9,No,No,Yes,Yes,Yes,1,4,60,0.1,139,924,1498,2913,14,0,medium cost
12/2/2022,948,Yes,2,10,15,Yes,Yes,Yes,Yes,Yes,0.5,5,60,0.2,116,223,1148,2094,12,7,medium cost
12/2/2022,1571,No,5,5,17,No,Yes,Yes,No,No,2.8,4,44,0.4,194,140,718,3141,8,1,medium cost
12/2/2022,564,Yes,1,6,2,Yes,Yes,No,No,No,0.5,2,33,0.6,192,113,863,2573,13,6,medium cost
12/2/2022,1466,No,6,18,4,Yes,No,Yes,Yes,Yes,2.4,14,57,0.9,155,1531,1727,2340,18,15,medium cost
12/2/2022,597,Yes,2,0,5,No,Yes,Yes,No,No,3,0,16,0.5,140,35,708,3788,12,0,medium cost
12/2/2022,895,Yes,7,14,15,No,No,Yes,Yes,Yes,2.5,10,9,0.5,148,1524,1691,3445,11,5,medium cost
12/2/2022,1535,No,4,16,15,No,Yes,Yes,Yes,Yes,2.5,13,37,1,82,838,1667,3241,6,0,medium cost
12/2/2022,1832,Yes,2,17,9,No,No,No,No,No,0.7,7,44,0.3,125,495,596,2976,19,3,medium cost
12/2/2022,1045,Yes,4,12,11,Yes,No,No,Yes,Yes,1.6,0,58,0.2,177,1212,1772,2241,19,15,medium cost
12/2/2022,1483,Yes,1,10,20,No,Yes,No,Yes,Yes,0.8,4,61,0.6,128,655,814,3843,11,8,medium cost
12/2/2022,976,No,7,14,6,Yes,Yes,No,Yes,Yes,2,0,5,0.9,184,496,797,3261,8,2,medium cost
12/2/2022,1840,Yes,4,2,16,Yes,No,Yes,No,No,1.1,0,46,0.1,123,800,1521,3264,8,4,medium cost
12/2/2022,1807,No,8,15,20,No,No,Yes,No,No,0.6,0,8,0.1,89,1010,1425,826,11,1,medium cost
12/2/2022,624,Yes,2,16,10,Yes,Yes,Yes,No,No,1.6,14,30,0.1,192,102,1052,1314,16,1,medium cost
12/2/2022,1963,No,3,15,10,Yes,No,No,Yes,Yes,0.5,7,38,0.4,193,948,1406,2699,7,0,medium cost
12/2/2022,1307,Yes,4,1,19,Yes,Yes,No,Yes,Yes,0.5,0,4,0.3,132,82,1236,2565,8,4,medium cost
12/2/2022,1933,Yes,7,7,19,No,Yes,Yes,No,No,0.5,6,23,0.1,102,1286,1846,3973,13,10,medium cost
12/2/2022,1496,Yes,2,5,6,No,No,Yes,No,Yes,1.3,0,42,0.9,124,264,995,3537,15,14,medium cost
12/2/2022,1532,Yes,2,10,7,Yes,Yes,No,No,Yes,2,0,7,0.2,134,75,834,3449,5,4,medium cost
12/2/2022,1004,No,2,9,20,Yes,No,Yes,Yes,Yes,1.1,7,8,0.8,97,461,919,3895,14,13,medium cost
12/2/2022,1483,Yes,5,14,16,Yes,No,Yes,Yes,Yes,1.2,10,38,0.1,87,321,1410,2777,17,9,medium cost
12/2/2022,945,No,2,11,5,No,No,No,No,No,2.4,3,47,0.4,141,120,1341,2904,19,14,medium cost
12/2/2022,1081,No,5,17,16,Yes,No,No,Yes,Yes,3,7,17,0.1,89,174,1683,3774,17,15,medium cost
12/2/2022,1012,No,3,14,10,Yes,No,Yes,Yes,Yes,2.8,6,32,0.9,87,1341,1997,3034,17,5,medium cost
12/2/2022,1762,No,3,12,15,No,Yes,No,No,No,1,5,50,0.9,104,1337,1684,2940,19,18,medium cost
12/2/2022,796,Yes,8,14,5,Yes,Yes,Yes,Yes,Yes,2.3,1,36,0.3,127,494,935,3932,5,1,medium cost
12/2/2022,1547,No,5,16,17,Yes,Yes,No,Yes,Yes,2.5,12,50,1,98,849,1024,1168,17,2,medium cost
12/2/2022,988,No,4,8,17,No,Yes,No,Yes,Yes,1.6,6,12,0.8,132,644,1291,376,9,1,medium cost
12/2/2022,1180,Yes,1,16,13,Yes,Yes,No,Yes,Yes,3,7,43,0.8,102,1557,1985,3510,9,5,medium cost
12/2/2022,852,Yes,2,4,9,No,Yes,No,Yes,Yes,1.9,3,3,0.5,161,376,872,542,14,9,medium cost
12/2/2022,607,Yes,7,3,12,No,Yes,No,Yes,Yes,0.8,1,18,0.2,146,151,532,550,12,1,medium cost
12/2/2022,1765,No,1,0,4,No,Yes,No,No,Yes,0.5,0,24,0.4,135,450,830,791,5,1,medium cost
12/2/2022,1250,No,1,19,7,Yes,No,No,No,No,0.5,18,63,0.7,165,1336,1532,1895,13,6,medium cost
12/2/2022,1577,No,5,0,20,Yes,Yes,Yes,No,Yes,2.6,0,55,0.5,109,1411,1718,609,6,0,medium cost
12/2/2022,1153,Yes,5,6,14,No,Yes,Yes,No,Yes,0.5,5,14,0.2,135,742,1236,263,19,10,medium cost
12/2/2022,651,Yes,7,5,19,Yes,Yes,No,No,Yes,0.7,0,35,0.4,113,1046,1414,2141,13,4,medium cost
12/2/2022,1186,Yes,4,7,17,Yes,No,Yes,No,No,2.3,1,25,0.1,88,85,1012,1270,18,9,medium cost
12/2/2022,1429,Yes,5,7,18,Yes,Yes,No,No,Yes,2.5,6,33,0.1,121,889,1846,403,11,6,medium cost
12/2/2022,556,No,8,12,2,No,No,No,Yes,Yes,0.9,4,10,0.8,135,182,688,2040,13,12,medium cost
12/2/2022,1735,Yes,3,8,8,No,Yes,No,Yes,Yes,2.7,5,21,0.1,126,282,1261,2597,16,12,medium cost
12/2/2022,1859,No,2,16,16,No,Yes,No,Yes,Yes,0.7,8,42,0.1,127,1168,1612,714,19,7,medium cost
12/2/2022,915,No,2,5,14,Yes,Yes,No,No,No,1.3,3,10,0.1,188,74,1266,423,13,3,medium cost
12/2/2022,890,No,1,10,17,No,Yes,No,No,No,0.5,5,9,0.4,113,457,1134,1238,6,2,medium cost
12/2/2022,758,No,3,18,18,No,No,No,No,No,2.8,13,48,0.7,101,1842,1896,926,9,5,medium cost
12/2/2022,541,No,7,4,5,Yes,No,No,Yes,Yes,2.1,0,28,0.4,156,103,1039,2704,14,0,medium cost
12/2/2022,586,No,8,17,5,Yes,Yes,Yes,Yes,Yes,2.9,6,33,0.2,195,1470,1644,2817,5,2,medium cost
12/2/2022,762,Yes,1,14,8,Yes,No,Yes,Yes,Yes,0.6,11,39,0.7,164,1065,1686,2271,12,7,medium cost
12/2/2022,683,No,7,3,19,No,No,Yes,Yes,Yes,0.5,0,9,0.8,186,1466,1754,1513,6,5,medium cost
12/2/2022,1526,No,3,20,19,No,Yes,Yes,No,Yes,0.7,10,39,0.4,125,563,1439,339,10,9,medium cost
12/2/2022,1771,Yes,2,9,16,Yes,Yes,No,No,Yes,2.4,6,39,0.7,188,460,1203,794,9,1,medium cost
12/2/2022,639,No,7,16,12,No,Yes,No,No,No,1.3,5,28,0.9,113,983,1369,391,6,2,medium cost
12/2/2022,1783,Yes,2,8,11,Yes,No,No,Yes,Yes,0.9,7,23,0.9,137,1114,1953,541,9,5,medium cost
12/2/2022,1933,No,5,20,13,Yes,No,No,Yes,Yes,1.2,16,55,0.2,166,729,1248,648,10,7,medium cost
12/2/2022,1384,No,1,5,2,Yes,No,Yes,Yes,Yes,1.3,3,62,0.4,153,1240,1393,3386,19,1,medium cost
12/2/2022,1770,No,1,17,14,No,No,No,No,No,2.6,12,26,0.5,80,98,1724,1651,18,6,medium cost
12/2/2022,1202,No,1,8,7,Yes,Yes,No,No,Yes,0.8,2,49,0.5,131,197,1435,1177,15,13,medium cost
12/2/2022,885,No,7,8,13,No,Yes,Yes,No,No,0.5,2,3,0.5,163,813,1666,2887,5,1,medium cost
12/2/2022,1629,Yes,6,19,18,Yes,No,Yes,Yes,Yes,2.3,2,2,0.8,86,1055,1200,2178,19,10,medium cost
12/2/2022,1072,Yes,1,12,13,No,Yes,Yes,Yes,Yes,0.5,6,4,0.5,92,1019,1640,2878,7,5,medium cost
12/2/2022,1863,Yes,5,1,19,Yes,No,Yes,No,Yes,2.5,0,64,0.7,89,159,618,3201,5,4,medium cost
12/2/2022,1739,No,4,15,9,Yes,Yes,Yes,No,No,2.3,1,51,0.4,140,406,691,1490,5,1,medium cost
12/2/2022,895,Yes,5,3,7,No,No,No,No,No,2.5,2,23,0.5,98,26,663,2724,16,14,medium cost
12/2/2022,1278,Yes,1,7,6,No,Yes,Yes,No,No,2.8,0,56,0.6,179,406,1698,3032,9,5,medium cost
12/2/2022,562,Yes,6,17,17,Yes,No,Yes,Yes,Yes,1.1,1,43,0.3,141,918,991,3352,13,12,medium cost
12/2/2022,1249,Yes,5,10,17,No,No,Yes,No,No,2.1,0,38,0.8,193,940,1290,3195,19,7,medium cost
12/2/2022,1811,No,6,19,2,Yes,No,No,Yes,Yes,1.2,18,25,0.8,185,1411,1443,1677,10,6,medium cost
12/2/2022,560,Yes,5,19,16,Yes,Yes,Yes,Yes,Yes,2.9,1,12,1,161,465,1797,2620,13,0,medium cost
12/2/2022,1773,Yes,7,20,15,No,Yes,No,Yes,Yes,0.5,14,61,0.1,141,847,1562,1061,17,4,medium cost
12/2/2022,1715,Yes,3,10,8,Yes,Yes,No,No,Yes,2.1,5,11,0.4,100,314,1276,1018,16,5,medium cost
12/2/2022,725,No,5,1,9,Yes,Yes,Yes,Yes,Yes,0.5,0,26,0.8,176,829,960,1370,7,6,medium cost
12/2/2022,800,Yes,6,9,6,No,Yes,No,Yes,Yes,2.2,5,41,0.1,103,185,1008,2094,17,16,medium cost
12/2/2022,1300,No,3,12,19,No,No,No,Yes,Yes,0.5,6,43,0.1,156,589,1815,2790,15,4,medium cost
12/2/2022,1001,No,5,0,11,Yes,Yes,No,No,Yes,0.8,0,48,1,98,471,655,1485,10,2,medium cost
12/2/2022,500,No,4,17,7,No,Yes,Yes,No,No,1.3,13,64,0.9,134,1384,1912,2807,19,7,medium cost
