date,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
11/2/2022,1712.00,No,0.80,No,1.00,No,29,0.3,149,7,6,556,816,2693,7,1,5,Yes,Yes,No,high cost
11/2/2022,882.00,Yes,0.90,Yes,13.00,No,32,0.8,103,8,14,224,764,2437,17,14,15,No,Yes,Yes,high cost
11/2/2022,632.00,No,1.20,No,6.00,Yes,33,0.5,101,2,10,705,992,837,16,4,3,Yes,No,No,high cost
11/2/2022,1442.00,Yes,0.50,Yes,0.00,No,56,0.4,165,3,3,709,1695,2815,6,0,8,No,Yes,Yes,high cost
11/2/2022,900.00,No,1.90,No,11.00,No,47,0.2,150,8,14,97,663,1440,14,2,4,Yes,Yes,Yes,high cost
11/2/2022,1630.00,Yes,0.60,Yes,4.00,No,20,0.9,153,7,10,1131,1360,3470,17,6,4,Yes,Yes,No,high cost
11/2/2022,1596.00,Yes,1.40,Yes,6.00,No,24,0.3,174,5,15,359,1022,1251,18,15,2,Yes,Yes,Yes,high cost
11/2/2022,1272.00,Yes,0.50,No,9.00,Yes,54,0.6,133,8,11,1813,1871,3181,10,6,14,Yes,No,Yes,high cost
11/2/2022,1640.00,No,2.50,Yes,1.00,No,7,0.2,135,4,2,839,1788,1361,9,1,7,No,Yes,Yes,high cost
11/2/2022,1111.00,No,1.40,Yes,10.00,No,15,0.5,198,7,14,550,666,1630,13,5,2,Yes,No,Yes,high cost
11/2/2022,1889.00,Yes,2.90,No,15.00,No,25,0.3,90,2,17,443,755,3689,9,6,2,Yes,No,Yes,high cost
11/2/2022,1907.00,Yes,1.10,Yes,1.00,No,22,0.1,80,8,4,502,1113,3586,11,2,6,Yes,No,Yes,high cost
11/2/2022,529.00,No,2.50,Yes,5.00,No,56,0.3,139,4,6,130,647,3942,10,0,7,No,No,Yes,high cost
11/2/2022,578.00,No,0.50,No,3.00,Yes,38,0.7,121,6,5,19,667,1431,5,0,7,Yes,No,No,high cost
11/2/2022,1634.00,Yes,2.30,Yes,2.00,Yes,39,0.4,164,1,7,386,636,2167,12,0,20,Yes,Yes,Yes,high cost
11/2/2022,1533.00,Yes,1.20,Yes,1.00,Yes,22,0.6,172,3,15,22,1345,1248,9,2,9,Yes,No,No,high cost
11/2/2022,660.00,No,0.60,No,5.00,Yes,47,0.1,83,3,6,49,1552,1986,8,0,15,Yes,Yes,No,high cost
11/2/2022,1847.00,Yes,1.60,No,10.00,Yes,28,0.2,111,4,14,1497,1508,1378,5,2,18,Yes,No,Yes,high cost
11/2/2022,1206.00,Yes,0.50,Yes,6.00,No,10,0.8,134,8,20,1327,1361,2959,5,1,20,No,No,Yes,high cost
11/2/2022,549.00,Yes,0.50,No,3.00,Yes,53,0.8,173,5,5,555,1386,1893,5,2,19,Yes,Yes,Yes,high cost
11/2/2022,1705.00,Yes,2.80,No,2.00,Yes,23,1,122,3,20,1560,1808,1676,8,6,20,Yes,Yes,Yes,high cost
11/2/2022,1366.00,No,0.50,Yes,4.00,No,36,0.1,185,1,16,346,702,1912,17,13,19,No,No,Yes,high cost
11/2/2022,1991.00,No,0.50,No,5.00,No,58,0.6,109,5,6,912,1660,1947,10,5,7,Yes,No,Yes,high cost
11/2/2022,1102.00,Yes,1.20,No,5.00,Yes,40,1,175,3,14,756,882,2734,15,12,4,Yes,Yes,No,high cost
11/2/2022,1452.00,No,1.10,No,3.00,Yes,32,0.5,175,3,5,699,1704,3617,16,1,12,Yes,Yes,No,high cost
11/2/2022,1810.00,Yes,1.10,Yes,6.00,No,63,0.9,151,1,19,582,1752,3414,18,10,10,Yes,No,No,high cost
11/2/2022,1166.00,Yes,2.20,Yes,2.00,Yes,41,1,165,7,4,680,1078,482,19,11,11,Yes,Yes,Yes,high cost
11/2/2022,881.00,Yes,0.80,Yes,5.00,No,6,0.4,117,6,12,814,1015,2813,18,1,17,Yes,No,Yes,high cost
11/2/2022,1134.00,Yes,0.50,Yes,0.00,Yes,64,0.5,166,5,0,672,1597,661,13,7,20,Yes,No,No,high cost
11/2/2022,1031.00,Yes,2.00,Yes,1.00,Yes,20,0.7,177,1,4,450,911,2546,9,6,12,Yes,No,Yes,high cost
11/2/2022,1376.00,Yes,2.40,Yes,0.00,Yes,34,0.4,167,6,1,757,1371,3922,5,0,2,Yes,No,No,high cost
11/2/2022,1391.00,No,1.40,Yes,2.00,Yes,56,0.1,137,5,8,208,900,1199,15,8,10,Yes,Yes,Yes,high cost
11/2/2022,979.00,No,2.10,No,6.00,No,24,0.6,124,5,16,1194,1256,3779,7,2,20,No,Yes,No,high cost
11/2/2022,1075.00,Yes,1.90,No,0.00,No,36,0.6,127,4,3,1335,1427,3870,8,3,20,Yes,Yes,No,high cost
11/2/2022,968.00,No,0.50,Yes,13.00,Yes,61,0.1,168,8,16,91,1585,858,8,7,11,Yes,Yes,No,high cost
11/2/2022,1999.00,No,0.50,Yes,1.00,Yes,15,0.7,183,8,11,33,653,3840,19,17,12,Yes,No,Yes,high cost
11/2/2022,1626.00,No,2.70,No,3.00,No,20,0.1,164,2,17,1095,1499,454,8,4,6,Yes,Yes,No,high cost
11/2/2022,942.00,No,1.70,Yes,14.00,No,28,0.8,153,8,20,336,797,3953,13,11,7,No,No,Yes,high cost
11/2/2022,1182.00,No,1.70,No,4.00,Yes,42,0.9,189,3,20,659,661,1633,14,3,6,Yes,No,Yes,high cost
11/2/2022,1982.00,Yes,0.80,Yes,9.00,No,48,0.4,98,6,16,183,709,3035,10,4,9,Yes,No,Yes,high cost
11/2/2022,1373.00,No,1.40,Yes,3.00,No,27,0.6,80,8,6,652,1100,966,14,0,9,No,No,Yes,high cost
11/2/2022,1151.00,No,1.70,Yes,8.00,No,44,0.5,107,8,17,410,,1761,7,4,10,Yes,No,No,high cost
11/2/2022,1650.00,Yes,2.10,Yes,6.00,No,51,0.9,99,5,15,440,1416,1938,14,0,3,No,Yes,Yes,high cost
11/2/2022,1663.00,Yes,0.60,Yes,0.00,No,17,0.7,152,4,2,532,886,2820,14,1,5,Yes,Yes,Yes,high cost
11/2/2022,1965.00,Yes,0.50,No,0.00,Yes,3,0.9,168,7,17,1373,1949,305,6,0,20,Yes,No,No,high cost
11/2/2022,679.00,No,0.90,Yes,0.00,No,41,0.3,154,4,1,773,920,2838,19,7,6,No,No,Yes,high cost
11/2/2022,1465.00,No,2.50,No,2.00,No,3,1,90,5,8,965,974,2042,8,2,12,No,Yes,Yes,high cost
11/2/2022,1809.00,Yes,2.20,Yes,3.00,No,27,0.3,137,5,19,568,1864,700,11,10,12,Yes,No,No,high cost
11/2/2022,757.00,Yes,2.40,Yes,8.00,Yes,26,0.2,164,8,17,652,1157,2593,19,3,15,Yes,No,Yes,high cost
11/2/2022,1034.00,Yes,0.70,No,7.00,Yes,47,0.2,105,6,15,214,1463,1835,8,1,9,Yes,No,No,high cost
11/2/2022,1119.00,Yes,2.50,No,9.00,No,23,0.8,81,4,19,423,1003,3121,15,4,5,No,Yes,No,high cost
11/2/2022,559.00,Yes,0.50,Yes,0.00,Yes,24,0.8,103,4,5,537,627,2023,14,1,2,Yes,No,No,high cost
11/2/2022,1204.00,Yes,1.80,No,9.00,No,19,0.8,113,8,15,667,1872,737,10,5,18,No,No,No,medium cost
11/2/2022,1008.00,No,2.30,Yes,4.00,Yes,15,0.4,89,8,19,491,692,450,11,7,18,Yes,No,No,medium cost
11/2/2022,1397.00,Yes,2.70,Yes,4.00,No,19,0.5,146,7,13,1037,1829,2928,12,2,4,No,No,No,medium cost
11/2/2022,697.00,No,0.60,Yes,0.00,Yes,34,0.1,114,4,6,325,610,1694,14,8,8,Yes,No,Yes,medium cost
11/2/2022,1939.00,Yes,1.30,No,5.00,No,58,0.3,174,2,17,49,974,2593,11,6,6,No,No,Yes,medium cost
11/2/2022,1039.00,No,1.90,Yes,2.00,No,15,0.7,113,1,5,1324,1945,745,9,2,10,No,No,No,medium cost
11/2/2022,1605.00,Yes,1.30,No,1.00,Yes,51,0.8,83,4,20,597,921,1310,11,9,10,Yes,Yes,Yes,medium cost
11/2/2022,1094.00,No,1.60,Yes,2.00,No,34,0.6,128,8,4,765,836,2743,9,3,20,No,No,Yes,medium cost
11/2/2022,769.00,Yes,0.50,Yes,1.00,Yes,30,0.8,190,3,9,470,1115,3976,12,10,11,Yes,No,Yes,medium cost
11/2/2022,861.00,Yes,0.60,Yes,0.00,No,40,0.1,132,2,13,653,1062,3931,18,14,2,No,No,No,medium cost
11/2/2022,504.00,No,0.90,Yes,4.00,No,63,1,169,2,16,463,1609,3455,17,15,15,No,No,Yes,medium cost
11/2/2022,1930.00,Yes,1.60,Yes,5.00,Yes,64,0.3,119,4,17,325,1205,1533,5,1,6,Yes,No,Yes,medium cost
11/2/2022,1795.00,Yes,0.60,Yes,10.00,No,52,0.3,140,2,16,855,910,3876,18,17,2,Yes,No,No,medium cost
11/2/2022,1363.00,No,1.60,Yes,3.00,Yes,2,0.9,159,7,6,912,1684,3239,11,5,11,Yes,No,No,medium cost
11/2/2022,1376.00,Yes,2.80,No,3.00,Yes,38,0.1,195,2,4,492,1110,3628,13,2,13,Yes,No,No,medium cost
11/2/2022,1981.00,Yes,0.50,No,2.00,No,19,0.4,123,7,3,605,769,3663,15,0,2,Yes,No,No,medium cost
11/2/2022,1901.00,No,2.70,No,4.00,No,62,0.7,133,3,17,401,1989,1786,16,10,5,No,Yes,Yes,medium cost
12/2/2022,1319.00,No,1.30,Yes,10.00,No,5,0.1,140,8,17,366,1821,3502,14,6,3,Yes,No,No,medium cost
12/2/2022,859.00,Yes,2.70,No,5.00,No,58,0.4,178,1,16,1225,1358,815,10,4,2,Yes,No,Yes,medium cost
12/2/2022,1664.00,Yes,2.10,No,10.00,No,25,0.1,147,3,11,573,856,275,9,3,11,Yes,Yes,Yes,medium cost
12/2/2022,955.00,No,0.50,Yes,0.00,No,62,0.4,151,1,1,261,538,3758,15,3,18,Yes,Yes,Yes,medium cost
12/2/2022,517.00,No,1.50,Yes,3.00,No,38,0.1,97,7,4,680,1138,2747,11,5,2,No,Yes,Yes,medium cost
12/2/2022,1806.00,No,1.10,No,2.00,Yes,64,0.3,133,5,7,280,683,1809,7,6,6,Yes,Yes,Yes,medium cost
12/2/2022,1348.00,No,0.80,No,6.00,Yes,50,0.1,123,4,11,565,1443,2086,12,8,20,Yes,No,No,medium cost
12/2/2022,1455.00,No,1.40,No,0.00,No,16,0.4,164,1,1,1379,1673,444,14,2,7,No,Yes,No,medium cost
12/2/2022,1611.00,No,1.70,Yes,5.00,No,25,0.6,92,5,18,949,1297,3467,9,1,8,Yes,Yes,Yes,medium cost
12/2/2022,1573.00,Yes,3.00,Yes,3.00,Yes,24,1,125,8,5,703,911,2776,5,3,17,Yes,Yes,Yes,medium cost
12/2/2022,557.00,No,0.50,No,0.00,Yes,23,0.5,197,5,1,1264,1682,3170,12,2,7,Yes,Yes,No,medium cost
12/2/2022,1599.00,Yes,0.50,No,4.00,No,31,0.1,130,2,5,1816,1917,1234,11,10,9,No,Yes,No,medium cost
12/2/2022,1051.00,Yes,0.90,Yes,0.00,No,16,0.1,100,7,9,108,894,305,12,0,3,Yes,Yes,Yes,medium cost
12/2/2022,1857.00,Yes,1.40,Yes,0.00,No,14,0.9,102,2,0,1328,1743,1745,15,10,20,No,No,No,medium cost
12/2/2022,1986.00,No,0.50,No,6.00,No,24,0.9,174,6,9,797,1061,1707,5,3,12,Yes,No,Yes,medium cost
12/2/2022,591.00,Yes,0.70,No,1.00,No,21,0.1,185,6,7,361,555,2220,11,10,13,Yes,Yes,No,medium cost
12/2/2022,1140.00,No,1.60,,0.00,Yes,56,0.3,131,7,4,1049,1715,3130,6,5,9,Yes,No,Yes,medium cost
12/2/2022,923.00,Yes,0.60,No,0.00,Yes,10,0.8,80,2,3,357,1718,1500,18,9,9,Yes,Yes,No,medium cost
12/2/2022,1582.00,No,0.50,No,0.00,No,33,0.4,200,1,9,197,764,2145,9,7,18,Yes,Yes,Yes,medium cost
12/2/2022,723.00,No,0.50,No,5.00,No,63,0.5,172,8,14,906,1801,488,5,0,8,Yes,No,Yes,medium cost
12/2/2022,1251.00,Yes,3.00,Yes,3.00,Yes,54,0.8,83,5,4,806,1405,3863,6,1,14,Yes,Yes,No,medium cost
12/2/2022,574.00,Yes,1.00,Yes,4.00,Yes,60,0.1,139,2,7,924,1498,2913,14,0,9,Yes,No,No,medium cost
12/2/2022,948.00,Yes,0.50,Yes,5.00,Yes,60,0.2,116,2,10,223,1148,2094,12,7,15,Yes,Yes,Yes,medium cost
12/2/2022,1571.00,No,2.80,Yes,4.00,No,44,0.4,194,5,5,140,718,3141,8,1,17,No,No,Yes,medium cost
12/2/2022,564.00,Yes,0.50,No,2.00,No,33,0.6,192,1,6,113,863,2573,13,6,2,No,Yes,Yes,medium cost
12/2/2022,1466.00,No,2.40,Yes,14.00,Yes,57,0.9,155,6,18,1531,1727,2340,18,15,4,Yes,Yes,No,medium cost
12/2/2022,597.00,Yes,3.00,Yes,0.00,No,16,0.5,140,2,0,35,708,3788,12,0,5,No,No,Yes,medium cost
12/2/2022,895.00,Yes,2.50,Yes,10.00,Yes,9,0.5,148,7,14,1524,1691,3445,11,5,15,Yes,No,No,medium cost
12/2/2022,1535.00,No,2.50,Yes,13.00,Yes,37,1,82,4,16,838,1667,3241,6,0,15,Yes,No,Yes,medium cost
12/2/2022,1832.00,Yes,0.70,No,7.00,No,44,0.3,125,2,17,495,596,2976,19,3,9,No,No,No,medium cost
12/2/2022,1045.00,Yes,1.60,No,0.00,Yes,58,0.2,177,4,12,1212,1772,2241,19,15,11,Yes,Yes,No,medium cost
12/2/2022,1483.00,Yes,0.80,No,4.00,Yes,61,0.6,128,1,10,655,814,3843,11,8,20,Yes,No,Yes,medium cost
12/2/2022,976.00,No,2.00,No,0.00,Yes,5,0.9,184,7,14,496,797,3261,8,2,6,Yes,Yes,Yes,medium cost
12/2/2022,1840.00,Yes,1.10,Yes,0.00,No,46,0.1,123,4,2,800,1521,3264,8,4,16,No,Yes,No,medium cost
12/2/2022,1807.00,No,0.60,Yes,0.00,No,8,0.1,89,8,15,1010,1425,826,11,1,20,No,No,No,medium cost
12/2/2022,624.00,Yes,1.60,Yes,14.00,No,30,0.1,192,2,16,102,1052,1314,16,1,10,No,Yes,Yes,medium cost
12/2/2022,1963.00,No,0.50,No,7.00,Yes,38,0.4,193,3,15,948,1406,2699,7,0,10,Yes,Yes,No,medium cost
12/2/2022,1307.00,Yes,0.50,No,0.00,Yes,4,0.3,132,4,1,82,1236,2565,8,4,19,Yes,Yes,Yes,medium cost
12/2/2022,1933.00,Yes,0.50,Yes,6.00,No,23,0.1,102,7,7,1286,1846,3973,13,10,19,No,No,Yes,medium cost
12/2/2022,1496.00,Yes,1.30,Yes,0.00,No,42,0.9,124,2,5,264,995,3537,15,14,6,Yes,No,No,medium cost
12/2/2022,1532.00,Yes,2.00,No,0.00,No,7,0.2,134,2,10,75,834,3449,5,4,7,Yes,Yes,Yes,medium cost
12/2/2022,1004.00,No,1.10,Yes,7.00,Yes,8,0.8,97,2,9,461,919,3895,14,13,20,Yes,Yes,No,medium cost
12/2/2022,1483.00,Yes,1.20,Yes,10.00,Yes,38,0.1,87,5,14,321,1410,2777,17,9,16,Yes,Yes,No,medium cost
12/2/2022,945.00,No,2.40,No,3.00,No,47,0.4,141,2,11,120,1341,2904,19,14,5,No,No,No,medium cost
12/2/2022,1081.00,No,3.00,No,7.00,Yes,17,0.1,89,5,17,174,1683,3774,17,15,16,Yes,Yes,No,medium cost
12/2/2022,1012.00,No,2.80,Yes,6.00,Yes,32,0.9,87,3,14,1341,1997,3034,17,5,10,Yes,Yes,No,medium cost
12/2/2022,1762.00,No,1.00,No,5.00,No,50,0.9,104,3,12,1337,1684,2940,19,18,15,No,No,Yes,medium cost
12/2/2022,796.00,Yes,2.30,Yes,1.00,Yes,36,0.3,127,8,14,494,935,3932,5,1,5,Yes,Yes,Yes,medium cost
12/2/2022,1547.00,No,2.50,No,12.00,Yes,50,1,98,5,16,849,1024,1168,17,2,17,Yes,Yes,Yes,medium cost
12/2/2022,988.00,No,1.60,No,6.00,Yes,12,0.8,132,4,8,644,1291,376,9,1,17,Yes,No,Yes,medium cost
12/2/2022,1180.00,Yes,3.00,No,7.00,Yes,43,0.8,102,1,16,1557,1985,3510,9,5,13,Yes,Yes,Yes,medium cost
12/2/2022,852.00,Yes,1.90,No,3.00,Yes,3,0.5,161,2,4,376,872,542,14,9,9,Yes,No,Yes,medium cost
12/2/2022,607.00,Yes,0.80,No,1.00,Yes,18,0.2,146,7,3,151,532,550,12,1,12,Yes,No,Yes,medium cost
12/2/2022,1765.00,No,0.50,No,0.00,No,24,0.4,135,1,0,450,830,791,5,1,4,Yes,No,Yes,medium cost
12/2/2022,1250.00,No,0.50,No,18.00,No,63,0.7,165,1,19,1336,1532,1895,13,6,7,No,Yes,No,medium cost
12/2/2022,1577.00,No,2.60,Yes,0.00,No,55,0.5,109,5,0,1411,1718,609,6,0,20,Yes,Yes,Yes,medium cost
12/2/2022,1153.00,Yes,0.50,Yes,5.00,No,14,0.2,135,5,6,742,1236,263,19,10,14,Yes,No,Yes,medium cost
12/2/2022,651.00,Yes,0.70,No,0.00,No,35,0.4,113,7,5,1046,1414,2141,13,4,19,Yes,Yes,Yes,medium cost
12/2/2022,1186.00,Yes,2.30,Yes,1.00,No,25,0.1,88,4,7,85,1012,1270,18,9,17,No,Yes,No,medium cost
12/2/2022,1429.00,Yes,2.50,No,6.00,No,33,0.1,121,5,7,889,1846,403,11,6,18,Yes,Yes,Yes,medium cost
12/2/2022,556.00,No,0.90,No,4.00,Yes,10,0.8,135,8,12,182,688,2040,13,12,2,Yes,No,No,medium cost
12/2/2022,1735.00,Yes,2.70,No,5.00,Yes,21,0.1,126,3,8,282,1261,2597,16,12,8,Yes,No,Yes,medium cost
12/2/2022,1859.00,No,0.70,No,8.00,Yes,42,0.1,127,2,16,1168,1612,714,19,7,16,Yes,No,Yes,medium cost
12/2/2022,915.00,No,1.30,No,3.00,No,10,0.1,188,2,5,74,1266,423,13,3,14,No,Yes,Yes,medium cost
12/2/2022,890.00,No,0.50,No,5.00,No,9,0.4,113,1,10,457,1134,1238,6,2,17,No,No,Yes,medium cost
12/2/2022,758.00,No,2.80,No,13.00,No,48,0.7,101,3,18,1842,1896,926,9,5,18,No,No,No,medium cost
12/2/2022,541.00,No,2.10,No,0.00,Yes,28,0.4,156,7,4,103,1039,2704,14,0,5,Yes,Yes,No,medium cost
12/2/2022,586.00,No,2.90,Yes,6.00,Yes,33,0.2,195,8,17,1470,1644,2817,5,2,5,Yes,Yes,Yes,medium cost
12/2/2022,762.00,Yes,0.60,Yes,11.00,Yes,39,0.7,164,1,14,1065,1686,2271,12,7,8,Yes,Yes,No,medium cost
12/2/2022,683.00,No,0.50,Yes,0.00,Yes,9,0.8,186,7,3,1466,1754,1513,6,5,19,Yes,No,No,medium cost
12/2/2022,1526.00,No,0.70,Yes,10.00,No,39,0.4,125,3,20,563,1439,339,10,9,19,Yes,No,Yes,medium cost
12/2/2022,1771.00,Yes,2.40,No,6.00,No,39,0.7,188,2,9,460,1203,794,9,1,16,Yes,Yes,Yes,medium cost
12/2/2022,639.00,No,1.30,No,5.00,No,28,0.9,113,7,16,983,1369,391,6,2,12,No,No,Yes,medium cost
12/2/2022,1783.00,Yes,0.90,No,7.00,Yes,23,0.9,137,2,8,1114,1953,541,9,5,11,Yes,Yes,No,medium cost
12/2/2022,1933.00,No,1.20,No,16.00,Yes,55,0.2,166,5,20,729,1248,648,10,7,13,Yes,Yes,No,medium cost
12/2/2022,1384.00,No,1.30,Yes,3.00,Yes,62,0.4,153,1,5,1240,1393,3386,19,1,2,Yes,Yes,No,medium cost
12/2/2022,1770.00,No,2.60,No,12.00,No,26,0.5,80,1,17,98,1724,1651,18,6,14,No,No,No,medium cost
12/2/2022,1202.00,No,0.80,No,2.00,No,49,0.5,131,1,8,197,1435,1177,15,13,7,Yes,Yes,Yes,medium cost
12/2/2022,885.00,No,0.50,Yes,2.00,No,3,0.5,163,7,8,813,1666,2887,5,1,13,No,No,Yes,medium cost
12/2/2022,1629.00,Yes,2.30,,2.00,Yes,2,0.8,86,6,19,1055,1200,2178,19,10,18,Yes,Yes,No,medium cost
12/2/2022,1072.00,Yes,0.50,Yes,6.00,Yes,4,0.5,92,1,12,1019,1640,2878,7,5,13,Yes,No,Yes,medium cost
12/2/2022,1863.00,Yes,2.50,Yes,0.00,No,64,0.7,89,5,1,159,618,3201,5,4,19,Yes,Yes,No,medium cost
12/2/2022,1739.00,No,2.30,Yes,1.00,No,51,0.4,140,4,15,406,691,1490,5,1,9,No,Yes,Yes,medium cost
12/2/2022,895.00,Yes,2.50,No,2.00,No,23,0.5,98,5,3,26,663,2724,16,14,7,No,No,No,medium cost
